INDEX,Rank,Institution Name,Country,Classification,,,Academic Reputation,,Employer Reputation,,Faculty Student,,Citations per Faculty,,International Faculty,,International Students,,International Research Network,,Employment Outcomes,,Sustainability,,Overall Score,Web Links
1172,1001-1200,University of Lagos,Nigeria,Extra Large,Comprehensive,High,8.4,601+,7.5,601+,2.2,701+,2.6,701+,na,na,na,na,34,701+,87.6,91,1.3,701+,na,https://unilag.edu.ng/
1173,1001-1200,University of Louisville,United States,Large,Full Comprehensive,High,3.5,601+,3.2,601+,30.5,513,7.7,701+,24.8,539,3.2,701+,59,644,5.1,701+,2.4,701+,na,https://louisville.edu/
1174,1001-1200,University of Massachusetts Boston,United States,Large,Focused,Very High,11,601+,7.7,601+,9.8,701+,19.7,558,4.5,701+,14.8,629,32.2,701+,2.9,701+,8.4,698,na,https://www.umb.edu/
1175,1001-1200,"University of Missouri, Kansas City",United States,Medium,Comprehensive,Very High,4.4,601+,4.4,601+,14.3,701+,16.9,606,4.1,701+,20,542,29.3,701+,6.6,701+,1.8,701+,na,https://www.umkc.edu/
1176,1001-1200,University of Naples Parthenope,Italy,Medium,Focused,Very High,3.8,601+,1.9,601+,3.3,701+,42.4,325,1.7,701+,2.1,701+,30.8,701+,1.7,701+,3,701+,na,https://www.uniparthenope.it/
1177,1001-1200,University of New England Australia,Australia,Large,Comprehensive,Very High,10.7,601+,7.2,601+,3.7,701+,14.7,641,4.6,701+,3.3,701+,62.9,587,9.8,701+,10.8,650,na,https://www.une.edu.au/
1178,1001-1200,University of New Hampshire,United States,Large,Comprehensive,Very High,5,601+,4.1,601+,12.2,701+,16.9,605,7,701+,2.5,701+,41.7,701+,7.1,701+,5.5,701+,na,https://www.unh.edu/
1179,1001-1200,University of North Carolina at Charlotte,United States,Large,Comprehensive,Very High,5.1,601+,5.8,601+,5,701+,13.4,662,8.7,701+,6.2,701+,65,556,7.8,701+,4.2,701+,na,https://www.charlotte.edu/
1180,1001-1200,University of North Texas,United States,Extra Large,Full Comprehensive,High,6.9,601+,5,601+,3.1,701+,17.2,595,3.5,701+,24.8,480,58,656,21.1,544,3.8,701+,na,https://www.unt.edu/
1181,1001-1200,University of Novi Sad,Serbia,Extra Large,Full Comprehensive,High,8.4,601+,5.9,601+,8.8,701+,3.6,701+,na,na,na,na,79.4,334,21.3,538,1.2,701+,na,http://www.uns.ac.rs/
1182,1001-1200,University of Rhode Island ,United States,Large,Comprehensive,Very High,5.6,601+,3.5,601+,6.7,701+,16.2,618,5.2,701+,2.6,701+,48.9,701+,11.8,701+,54.1,294,na,https://web.uri.edu/
1183,1001-1200,University of Sarajevo ,Bosnia and Herzegovina,Large,Comprehensive,High,4.4,601+,1.6,601+,4.6,701+,1.9,701+,na,na,2.8,701+,46.5,701+,83.6,107,1,701+,na,http://www.unsa.ba/
1184,1001-1200,University of Seoul ,South Korea,Medium,Comprehensive,Very High,11,601+,9.7,601+,36.7,436,8.8,701+,5.5,701+,6.9,701+,24,701+,5.3,701+,4.9,701+,na,https://www.uos.ac.kr/
1185,1001-1200,University of Tabuk,Saudi Arabia,Large,Full Comprehensive,High,5.2,601+,2.4,601+,18.7,701+,3,701+,92.4,174,2.2,701+,38,701+,2.2,701+,1,701+,na,https://www.ut.edu.sa/
1186,1001-1200,University of Texas at San Antonio,United States,Large,Focused,Very High,6,601+,3,601+,3.9,701+,22.8,522,8.8,701+,2.7,701+,60.5,629,5.1,701+,3.8,701+,na,https://www.utsa.edu/
1187,1001-1200,University of Texas El Paso ,United States,Large,Focused,Very High,4.4,601+,2.6,601+,5.7,701+,14.2,650,9,701+,5.3,701+,66.2,535,3,701+,2.9,701+,na,https://www.utep.edu/
1188,1001-1200,University of the Free State,South Africa,Large,Focused,Very High,6.1,601+,5.8,601+,3.4,701+,8.8,701+,na,na,4.4,701+,92.4,130,11.6,701+,1.7,701+,na,https://www.ufs.ac.za/
1189,1001-1200,University of the Sunshine Coast ,Australia,Large,Comprehensive,High,3.6,601+,1.9,601+,2.6,701+,25.2,496,2.7,701+,16.4,598,48.3,701+,1.6,701+,6.5,701+,na,https://www.sunshinecoast.edu.au/
1190,1001-1200,University of Toledo,United States,Large,Full Comprehensive,High,3.7,601+,3,601+,9.6,701+,18.2,582,6,701+,10.4,701+,45.4,701+,7.7,701+,1.7,701+,na,https://www.utoledo.edu/
1191,1001-1200,University of Tulsa,United States,Small,Comprehensive,Very High,3.2,601+,2.1,601+,35.1,450,11.5,701+,7,701+,17.8,581,20.4,701+,13.7,701+,1.1,701+,na,https://utulsa.edu/
1192,1001-1200,University of Vermont,United States,Large,Full Comprehensive,High,3.1,601+,2.2,601+,34.9,456,15.6,628,6.8,701+,2.4,701+,62.8,590,9.5,701+,8.1,701+,na,https://www.uvm.edu/
1193,1001-1200,University of Warmia and Mazury in Olsztyn,Poland,Large,Focused,Very High,6.9,601+,8.9,601+,28.6,539,3.7,701+,2,701+,2.7,701+,40.6,701+,3.2,701+,7.1,701+,na,https://www.uwm.edu.pl/en
1194,1001-1200,University of Wolverhampton,United Kingdom,Large,Comprehensive,High,3.2,601+,2.7,601+,10.2,701+,8.3,701+,33.3,475,69.2,214,45.7,701+,4.7,701+,1.3,701+,na,https://www.wlv.ac.uk/
1195,1001-1200,University of Wyoming,United States,Medium,Comprehensive,Very High,3.2,601+,1.6,601+,28.4,545,21.1,542,6.8,701+,4,701+,52.2,701+,6.5,701+,3.6,701+,na,https://www.uwyo.edu/
1196,1001-1200,University of Žilina,Slovakia,Medium,Focused,Very High,6.6,601+,1.8,601+,60.1,239,6.6,701+,2,701+,6,701+,19.3,701+,4.6,701+,1,701+,na,https://www.uniza.sk/
1197,1001-1200,Utah State University ,United States,Large,Comprehensive,Very High,6.2,601+,2,601+,5.4,701+,22.4,527,1.1,701+,1.6,701+,54.7,700,7.6,701+,7.4,701+,na,https://www.usu.edu/
1198,1001-1200,VSB - Technical University of Ostrava,Czech Republic,Medium,Focused,Very High,6,601+,10.5,601+,18.6,701+,4.7,701+,11.3,701+,28.3,442,50.2,701+,3.9,701+,4.6,701+,na,https://www.vsb.cz/en/
1199,1001-1200,Warsaw University of Life Sciences – SGGW (WULS-SGGW),Poland,Large,Focused,Very High,6.6,601+,4.4,601+,18.8,701+,6.8,701+,2.3,701+,6.4,701+,74.4,416,3,701+,6.9,701+,na,https://en.sggw.edu.pl/
1200,1001-1200,West Virginia University,United States,Large,Full Comprehensive,Very High,5.6,601+,4.7,601+,12.8,701+,18.5,575,5.8,701+,4.2,701+,66.7,528,14.3,686,6.7,701+,na,https://www.wvu.edu/
1201,1001-1200,Xi'an Jiaotong Liverpool University,China (Mainland),Large,Comprehensive,High,4.2,601+,1.9,601+,6.2,701+,5.6,701+,94.8,151,2.8,701+,37.8,701+,1.5,701+,1.5,701+,na,https://www.xjtlu.edu.cn/
1202,1001-1200,Yokohama National University,Japan,Medium,Comprehensive,Very High,9.3,601+,16.4,519,18.3,701+,6.6,701+,10.1,701+,7.8,701+,26.5,701+,17.8,603,2.8,701+,na,https://www.ynu.ac.jp/english/
1203,1201-1400,Al-Balqa Applied University,Jordan,Large,Full Comprehensive,High,5.8,601+,6.6,601+,4.8,701+,2.7,701+,7.6,701+,2.5,701+,32.9,701+,3.9,701+,6.7,701+,na,http://www.bau.edu.jo/
1204,1201-1400,Alexandru Ioan Cuza University,Romania,Large,Focused,Very High,7.5,601+,11.9,601+,5.5,701+,3,701+,3.5,701+,9.6,701+,40.2,701+,14.3,684,3.2,701+,na,https://www.uaic.ro/
1205,1201-1400,Anadolu University,Turkey,Large,Focused,High,4.9,601+,3.9,601+,13.1,701+,2.6,701+,1.8,701+,2.9,701+,17.5,701+,13.9,697,1,701+,na,https://www.anadolu.edu.tr/
1206,1201-1400,Aoyama Gakuin University,Japan,Large,Comprehensive,Medium,7,601+,10.9,601+,5.2,701+,1.8,701+,15.4,663,2.5,701+,6.2,701+,9.5,701+,1,701+,na,https://www.aoyama.ac.jp/english/
1207,1201-1400,Ataturk University,Turkey,Extra Large,Specialist,Very High,5.8,601+,2.3,601+,2.9,701+,4.4,701+,3.2,701+,7.4,701+,39.4,701+,7.8,701+,1.1,701+,na,https://www.ataturk.edu.tr/
1208,1201-1400,Atma Jaya Catholic University Jakarta,Indonesia,Medium,Focused,High,6.8,601+,7.7,601+,8.7,701+,1.3,701+,3.4,701+,1.2,701+,7.5,701+,18,601,1.1,701+,na,https://www.atmajaya.ac.id/
1209,1201-1400,Bahauddin Zakariya University ,Pakistan,Extra Large,Comprehensive,High,6,601+,6.2,601+,1.8,701+,14.6,644,na,na,1,701+,44.6,701+,4.1,701+,1,701+,na,http://www.bzu.edu.pk/
1210,1201-1400,Beijing Foreign Studies University,China (Mainland),Medium,Specialist,Very High,5.7,601+,2.9,601+,25.9,574,1.5,701+,19.6,606,25.8,468,3.4,701+,7.4,701+,1,701+,na,https://www.bfsu.edu.cn/
1211,1201-1400,Beijing University of Chinese Medicine,China (Mainland),Medium,Focused,Very High,4.4,601+,1.6,601+,37.2,431,9.4,701+,na,na,8.8,701+,7.1,701+,3,701+,1,701+,na,https://www.bucm.edu.cn/
1212,1201-1400,Belarusian State University of Informatics and Radioelectronics,Belarus,Medium,Specialist,Medium,6.6,601+,17.1,500,15.3,701+,1.2,701+,1.1,701+,9.3,701+,7.4,701+,5.9,701+,na,na,na,https://www.bsuir.by/en/
1213,1201-1400,Benemérita Universidad Autónoma de Puebla,Mexico,Extra Large,Full Comprehensive,High,13.7,601+,5.4,601+,2.8,701+,1.9,701+,2.8,701+,1.3,701+,24.5,701+,2,701+,1.2,701+,na,https://www.buap.mx/
1214,1201-1400,Birzeit university,"Palestinian Territory, Occupied",Medium,Comprehensive,High,7.6,601+,7.1,601+,4.7,701+,2.8,701+,13.4,697,4,701+,20.4,701+,23.2,489,1,701+,na,https://www.birzeit.edu/
1215,1201-1400,British University in Egypt,Egypt,Medium,Comprehensive,High,6,601+,5.5,601+,25.7,578,2.3,701+,2.6,701+,2.6,701+,12,701+,2.6,701+,1,701+,na,https://www.bue.edu.eg/
1216,1201-1400,Brock University,Canada,Medium,Comprehensive,Very High,4,601+,6.3,601+,3,701+,13.7,658,2.1,701+,23.8,493,30.9,701+,5.2,701+,2.7,701+,na,https://brocku.ca/
1217,1201-1400,Central Michigan University,United States,Large,Full Comprehensive,High,3.6,601+,3.4,601+,8.2,701+,6.5,701+,2.4,701+,6.9,701+,23.4,701+,7.7,701+,1.2,701+,na,https://www.cmich.edu/
1218,1201-1400,Chaoyang University of Technology,Taiwan,Large,Focused,Very High,5.5,601+,5.8,601+,4.3,701+,3.9,701+,5.6,701+,5.9,701+,26.5,701+,2,701+,4.3,701+,na,https://www.cyut.edu.tw/
1219,1201-1400,China University of Political Science and Law,China (Mainland),Large,Focused,Medium,2.7,601+,37.6,251,8,701+,1.2,701+,3.7,701+,1.5,701+,6.1,701+,5.8,701+,1,701+,na,http://www.cupl.edu.cn/
1220,1201-1400,Chitkara University,India,Large,Comprehensive,High,6.1,601+,7.4,601+,15.9,701+,2.2,701+,5.5,701+,3,701+,29.4,701+,1.9,701+,3.3,701+,na,https://www.chitkara.edu.in/
1221,1201-1400,Chittagong University of Engineering and Technology,Bangladesh,Small,Focused,Very High,8.9,601+,12.4,601+,8.3,701+,5.1,701+,1.4,701+,na,na,6.7,701+,4.2,701+,1,701+,na,http://www.cuet.ac.bd/
1222,1201-1400,Cleveland State University,United States,Medium,Comprehensive,High,4.1,601+,3.1,601+,9.2,701+,4,701+,4,701+,26.2,462,16.7,701+,7.3,701+,1,701+,na,https://www.csuohio.edu/
1223,1201-1400,Cukurova University,Turkey,Extra Large,Full Comprehensive,High,4.9,601+,3.8,601+,5.2,701+,2.6,701+,1.9,701+,3.3,701+,46.2,701+,7.6,701+,2.9,701+,na,https://www.cu.edu.tr/
1224,1201-1400,CUNY The City College of New York,United States,Medium,Full Comprehensive,High,7.2,601+,3,601+,11.9,701+,11.3,701+,6.7,701+,4.7,701+,24.8,701+,1.5,701+,2.5,701+,na,https://www.ccny.cuny.edu/
1225,1201-1400,Daffodil International University,Bangladesh,Large,Focused,Very High,9.5,601+,19.8,458,3.8,701+,2.8,701+,5,701+,2.9,701+,22,701+,3.7,701+,3.4,701+,na,https://www.diu.edu.bd/
1226,1201-1400,Damascus University,Syrian Arab Republic,Extra Large,Full Comprehensive,Medium,6.1,601+,3.7,601+,1.4,701+,1.2,701+,4,701+,6,701+,18.4,701+,90.2,76,1.1,701+,na,http://www.damascusuniv.edu.sy/
1227,1201-1400,Dokuz Eylül Üniversitesi,Turkey,Extra Large,Full Comprehensive,High,6.8,601+,7.8,601+,3.5,701+,2.1,701+,2.5,701+,10.7,701+,34.7,701+,6,701+,18.8,548,na,https://www.deu.edu.tr/
1228,1201-1400,Doshisha University,Japan,Large,Comprehensive,High,8.6,601+,11.4,601+,5.2,701+,1.8,701+,17.6,631,3.7,701+,18.7,701+,19.1,576,1,701+,na,https://www.doshisha.ac.jp/en/
1229,1201-1400,Erciyes Üniversitesi,Turkey,Extra Large,Full Comprehensive,High,4.4,601+,3,601+,2,701+,5.3,701+,3.1,701+,5.7,701+,45.1,701+,1.7,701+,8.8,692,na,https://www.erciyes.edu.tr/
1230,1201-1400,Escuela Politécnica Nacional,Ecuador,Medium,Focused,Very High,6.9,601+,9.2,601+,16.6,701+,3.4,701+,5,701+,1.6,701+,14.9,701+,5,701+,1.3,701+,na,https://www.epn.edu.ec/
1231,1201-1400,Feng Chia University,Taiwan,Large,Focused,Very High,10.8,601+,7.9,601+,4.4,701+,6.1,701+,3.4,701+,4.4,701+,11.2,701+,15.5,643,16.7,566,na,https://www.fcu.edu.tw/en/
1232,1201-1400,Florida Atlantic University - Boca Raton,United States,Large,Full Comprehensive,High,4.7,601+,6.2,601+,4.9,701+,9.5,701+,6.8,701+,4.4,701+,44.3,701+,5.8,701+,4.5,701+,na,https://www.fau.edu/
1233,1201-1400,Fu Jen Catholic University,Taiwan,Large,Full Comprehensive,High,7.6,601+,6.9,601+,3.6,701+,7,701+,7.6,701+,4.2,701+,16.1,701+,27.1,442,4,701+,na,https://www.fju.edu.tw/en/
1234,1201-1400,Fundación CEU San Pablo,Spain,Large,Comprehensive,High,4.4,601+,9.4,601+,15.7,701+,2.3,701+,3.8,701+,47.5,308,15.3,701+,10.5,701+,1,701+,na,https://www.fundacionceusanpablo.com/
1235,1201-1400,German University in Cairo,Egypt,Large,Comprehensive,High,8.3,601+,15.2,552,7,701+,2.2,701+,13.4,698,1.1,701+,12.8,701+,4.4,701+,1,701+,na,https://www.guc.edu.eg/
1236,1201-1400,Hanoi University of Science and Technology,Vietnam,Extra Large,Focused,Very High,7.3,601+,7.3,601+,2.4,701+,4.7,701+,4.2,701+,1.2,701+,23.1,701+,23.1,493,3.4,701+,na,https://www.hust.edu.vn/
1237,1201-1400,Harper Adams University,United Kingdom,Small,Comprehensive,High,4.2,601+,10.3,601+,6.1,701+,6.9,701+,17.4,635,7.6,701+,11.6,701+,1.5,701+,1,701+,na,https://www.harper-adams.ac.uk/
1238,1201-1400,Helwan University ,Egypt,Extra Large,Comprehensive,High,7.3,601+,12.4,601+,3.6,701+,1.6,701+,1.1,701+,1.6,701+,50.7,701+,13.2,701+,1.5,701+,na,https://www.helwan.edu.eg/
1239,1201-1400,Hongik University ,South Korea,Large,Focused,Very High,4.2,601+,5.6,601+,9.8,701+,3,701+,16,651,9.6,701+,14.2,701+,4.8,701+,1,701+,na,http://www.hongik.ac.kr/
1240,1201-1400,Hue University,Vietnam,Extra Large,Comprehensive,High,4.6,601+,12.9,601+,3,701+,1.6,701+,4.8,701+,1.4,701+,41.6,701+,4.5,701+,1.1,701+,na,http://www.hueuni.edu.vn/
1241,1201-1400,Instituto Tecnológico de Santo Domingo (INTEC),Dominican Republic,Medium,Focused,Medium,1.6,601+,4,601+,35.4,447,1.4,701+,10,701+,4.1,701+,5.6,701+,38.5,332,1,701+,na,https://www.intec.edu.do/
1242,1201-1400,Istanbul Aydin University  ,Turkey,Large,Comprehensive,Medium,4.9,601+,3,601+,12.3,701+,1.4,701+,6.7,701+,52.1,282,7.3,701+,2.1,701+,1.1,701+,na,https://www.ia.edu.tr/
1243,1201-1400,Istanbul Bilgi Üniversitesi,Turkey,Medium,Focused,High,4.9,601+,4.3,601+,13.3,701+,1.7,701+,3.5,701+,20.2,536,6.5,701+,13.3,701+,2.2,701+,na,https://www.bilgi.edu.tr/
1244,1201-1400,Ivan Franko National University of Lviv,Ukraine,Large,Comprehensive,High,5.7,601+,12.8,601+,30.2,519,1.3,701+,1.3,701+,1.5,701+,12.6,701+,18.6,591,2,701+,na,http://www.ifuniv.edu.ua/
1245,1201-1400,Izmir Institute of Technology (IZTECH),Turkey,Medium,Comprehensive,High,7.2,601+,4.4,601+,5.8,701+,8.2,701+,3.2,701+,2.1,701+,15.5,701+,2.1,701+,1.6,701+,na,https://www.iztech.edu.tr/
1246,1201-1400,Jahangirnagar University,Bangladesh,Large,Focused,Very High,9.7,601+,12.7,601+,4,701+,5.7,701+,na,na,na,na,29.4,701+,3.8,701+,1.1,701+,na,http://www.juniv.edu/
1247,1201-1400,Jamia Hamdard,India,Medium,Comprehensive,Very High,5.1,601+,1.8,601+,8.4,701+,12.6,678,na,na,2.1,701+,12.7,701+,1.9,701+,1,701+,na,https://www.jamiahamdard.edu/
1248,1201-1400,Jeju National University ,South Korea,Medium,Full Comprehensive,Very High,3.6,601+,1.9,601+,30,520,7,701+,7.5,701+,5.5,701+,23.1,701+,1.8,701+,15,592,na,https://www.jnu.ac.kr/
1249,1201-1400,Kazakh Ablai Khan University of International Relations and World Languages,Kazakhstan,Medium,Specialist,Low,7.7,601+,9,601+,40.4,386,1,701+,6.6,701+,4.1,701+,1,701+,3.4,701+,na,na,na,https://www.kaui.kz/en
1250,1201-1400,Kazan National Research Technological University,Russia,Large,Focused,Very High,5.7,601+,4.1,601+,18.9,701+,1.4,701+,2.7,701+,29.6,434,7.2,701+,3.1,701+,1,701+,na,https://www.knrtu.ru/en
1251,1201-1400,Kenyatta University,Kenya,Extra Large,Focused,High,7,601+,7.4,601+,1.5,701+,1.3,701+,na,na,na,na,13.1,701+,28.4,433,1,701+,na,https://www.ku.ac.ke/
1252,1201-1400,Kharkiv National University of Radio Electronics ,Ukraine,Medium,Focused,Very High,3.9,601+,12.3,601+,21.6,643,1.5,701+,1.4,701+,5.1,701+,11.9,701+,4.1,701+,1.4,701+,na,https://www.khniu.edu.ua/
1253,1201-1400,Khulna University,Bangladesh,Medium,Specialist,High,6.9,601+,5,601+,10.5,701+,5.3,701+,na,na,na,na,17.8,701+,3.8,701+,1,701+,na,http://www.ku.ac.bd/
1254,1201-1400,Khulna University of Engineering and Technology,Bangladesh,Medium,Specialist,High,6.6,601+,11.8,601+,8.7,701+,5.6,701+,na,na,1,701+,9.4,701+,3.7,701+,1,701+,na,https://kuet.ac.bd/
1255,1201-1400,Kindai University (Kinki University),Japan,Extra Large,Full Comprehensive,High,5.2,601+,4.3,601+,8.4,701+,4.9,701+,15.7,656,1.9,701+,32.2,701+,1.8,701+,2.4,701+,na,https://www.kindai.ac.jp/english
1256,1201-1400,King Mongkuts Institute of Technology Ladkrabang,Thailand,Large,Focused,Very High,8.3,601+,3.7,601+,4.2,701+,3.1,701+,16.7,642,2.2,701+,18.5,701+,6.2,701+,1.1,701+,na,https://www.kmitl.ac.th/
1257,1201-1400,King Mongkut's University of Technology North Bangkok,Thailand,Large,Focused,Very High,8.5,601+,4.9,601+,4.1,701+,3.3,701+,2.8,701+,1.1,701+,23.5,701+,2.5,701+,1.1,701+,na,https://www.kmutnb.ac.th/
1258,1201-1400,Kookmin University ,South Korea,Large,Comprehensive,High,3.6,601+,4,601+,35.3,449,2.9,701+,4.9,701+,31.1,419,7.9,701+,2.9,701+,2.9,701+,na,https://www.kookmin.ac.kr/
1259,1201-1400,Kwame Nkrumah University of Science and Technology,Ghana,Extra Large,Comprehensive,High,6.9,601+,6,601+,4.8,701+,2,701+,na,na,na,na,55.3,691,34.5,366,2.3,701+,na,https://www.knust.edu.gh/
1260,1201-1400,Kyoto Institute of Technology,Japan,Small,Focused,Very High,6.1,601+,3.9,601+,14.4,701+,11.7,701+,11.1,701+,9,701+,9.3,701+,1.9,701+,1.1,701+,na,https://www.kit.ac.jp/english/
1261,1201-1400,Kyrgyz State Technical University,Kyrgyzstan,Large,Specialist,Low,14.6,598,7,601+,12,701+,1,701+,2.6,701+,5.8,701+,1.2,701+,22.6,506,na,na,na,http://kstu.kg/
1262,1201-1400,Marquette University,United States,Medium,Comprehensive,Very High,3.4,601+,2.4,601+,21.1,654,9.1,701+,6.2,701+,2.7,701+,35.6,701+,11.2,701+,1.2,701+,na,https://www.marquette.edu/
1263,1201-1400,Meiji University,Japan,Extra Large,Comprehensive,High,6.7,601+,19.2,467,4.4,701+,1.6,701+,10.5,701+,4.6,701+,13.4,701+,17.3,615,1.1,701+,na,https://www.meiji.ac.jp/
1264,1201-1400,Mendeleev University of Chemical Technology,Russia,Medium,Focused,Very High,4.5,601+,3.9,601+,24.2,608,2.8,701+,1.1,701+,9.1,701+,15.3,701+,8.8,701+,1,701+,na,https://www.muctr.ru/en
1265,1201-1400,Miami University,United States,Large,Comprehensive,High,3.8,601+,5.4,601+,6.2,701+,7.8,701+,3.4,701+,5.5,701+,25.3,701+,26.1,453,2.2,701+,na,https://miamioh.edu/
1266,1201-1400,Moscow Pedagogical State University,Russia,Large,Focused,High,7.8,601+,3.6,601+,7.2,701+,1.3,701+,1.2,701+,23.8,494,6.8,701+,1.8,701+,1,701+,na,https://www.mpsu.ru/en
1267,1201-1400,Nagoya Institute of Technology (NIT),Japan,Medium,Specialist,Very High,5.7,601+,2.6,601+,7.5,701+,14.5,645,5.1,701+,4.1,701+,18.3,701+,6,701+,1,701+,na,https://www.nitech.ac.jp/en/
1268,1201-1400,National Dong Hwa University,Taiwan,Medium,Comprehensive,High,9.2,601+,4.5,601+,6.3,701+,5.4,701+,4.9,701+,10.2,701+,9.7,701+,2,701+,1.3,701+,na,https://www.ndhu.edu.tw/en/
1269,1201-1400,National Research University Moscow Power Engineering Institute (MPEI),Russia,Medium,Focused,Very High,6.9,601+,4,601+,12.8,701+,1.9,701+,6.8,701+,41.6,343,21,701+,9.5,701+,1,701+,na,https://www.mpei.ru/english
1270,1201-1400,National Taipei University,Taiwan,Medium,Focused,High,7.6,601+,4.5,601+,7.8,701+,2.8,701+,2.6,701+,4.5,701+,5,701+,18.9,586,1.1,701+,na,http://www.ntpu.edu.tw/
1271,1201-1400,National Taiwan Ocean University,Taiwan,Medium,Focused,Very High,6,601+,3.2,601+,11.9,701+,10.8,701+,7.5,701+,7.6,701+,22.6,701+,3.3,701+,17.5,560,na,https://www.ntou.edu.tw/
1272,1201-1400,Novosibirsk State Technical University,Russia,Medium,Focused,Very High,6,601+,6.4,601+,27.6,553,1.7,701+,1.4,701+,41.7,342,8.4,701+,5.7,701+,1,701+,na,https://en.nstu.ru/
1273,1201-1400,Óbuda University,Hungary,Medium,Focused,Very High,5.5,601+,4.9,601+,2.5,701+,7.8,701+,17.9,629,7.6,701+,29.1,701+,3.8,701+,1,701+,na,http://www.uni-obuda.hu/
1274,1201-1400,Odessa I.I. Mechnikov National University,Ukraine,Medium,Focused,Very High,3.9,601+,2.3,601+,55.4,272,1.3,701+,1.8,701+,3.3,701+,10.3,701+,6.3,701+,1,701+,na,http://www.onu.edu.ua/
1275,1201-1400,OSMANIA UNIVERSITY,India,Medium,Comprehensive,Very High,5.4,601+,3.7,601+,3.5,701+,21,545,na,na,5.4,701+,17.2,701+,7.2,701+,1,701+,na,https://www.osmania.ac.in/
1276,1201-1400,Perm State National Research University,Russia,Medium,Focused,Very High,4.4,601+,1.7,601+,34.5,458,1.5,701+,1.4,701+,8.3,701+,6.3,701+,2,701+,1.2,701+,na,https://www.psu.ru/en
1277,1201-1400,Pondicherry University,India,Medium,Comprehensive,Very High,4.1,601+,2.1,601+,5.4,701+,16.5,616,1.9,701+,1.1,701+,21.1,701+,2.7,701+,5.8,701+,na,https://www.pondiuni.edu.in/
1278,1201-1400,Pontificia Universidad Catolica Madre y Maestra,Dominican Republic,Medium,Full Comprehensive,Medium,4.2,601+,4.1,601+,11.2,701+,1.2,701+,9.4,701+,11.4,688,4.1,701+,45.7,278,1,701+,na,https://www.pucmm.edu.do/
1279,1201-1400,Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Brazil,Medium,Full Comprehensive,High,6.3,601+,3.9,601+,12.3,701+,9.4,701+,2.6,701+,1.7,701+,30.5,701+,9.2,701+,1.1,701+,na,https://www.pucrs.br/
1280,1201-1400,Portland State University,United States,Large,Comprehensive,Very High,4.1,601+,1.7,601+,9.3,701+,9.2,701+,1.6,701+,6.1,701+,44.4,701+,9.7,701+,6.8,701+,na,https://www.pdx.edu/
1281,1201-1400,Pukyong National University ,South Korea,Large,Comprehensive,Very High,5.7,601+,3.1,601+,12.7,701+,7,701+,6.2,701+,7.1,701+,32.3,701+,1.6,701+,28.4,456,na,https://www.pknu.ac.kr/
1282,1201-1400,Rajshahi University,Bangladesh,Large,Comprehensive,High,10.4,601+,9.8,601+,3.9,701+,3,701+,1,701+,1.1,701+,16.4,701+,3.7,701+,1.1,701+,na,https://www.ru.ac.bd/
1283,1201-1400,Rikkyo University,Japan,Large,Focused,High,4,601+,9.6,601+,8.2,701+,2.1,701+,23.7,552,5.6,701+,13.7,701+,5.8,701+,1.2,701+,na,https://www.rikkyo.ac.jp/en/
1284,1201-1400,Saitama University,Japan,Medium,Comprehensive,Very High,4.9,601+,1.6,601+,11.5,701+,6.8,701+,9.7,701+,4.9,701+,18.1,701+,1.8,701+,1.1,701+,na,https://www.saitama-u.ac.jp/en/
1285,1201-1400,Saken Seifullin Kazakh Agrotechnical University,Kazakhstan,Medium,Focused,High,9.7,601+,9.3,601+,27.8,550,1.2,701+,10.1,701+,4.2,701+,2.6,701+,3.4,701+,2,701+,na,https://www.kazagro.kz/en
1286,1201-1400,San Francisco State University,United States,Large,Comprehensive,High,4.5,601+,3.1,601+,5.7,701+,4,701+,3.4,701+,5,701+,35.6,701+,7.6,701+,1.7,701+,na,https://www.sfsu.edu/
1287,1201-1400,Sathyabama Institute of Science and Technology (deemed to be university),India,Large,Comprehensive,Very High,6.8,601+,3.7,601+,24.8,596,4.3,701+,5.3,701+,3.5,701+,17,701+,1.9,701+,3.1,701+,na,https://www.sathyabama.ac.in/
1288,1201-1400,Seattle University,United States,Medium,Comprehensive,High,5.4,601+,6.4,601+,32.2,490,2.1,701+,1.5,701+,13.2,656,6.3,701+,10.1,701+,2.4,701+,na,https://www.seattleu.edu/
1289,1201-1400,Seoul National University of Science and Technology,South Korea,Medium,Focused,Very High,6.4,601+,3.6,601+,12.8,701+,10.3,701+,9.6,701+,11.9,683,12.4,701+,1.9,701+,9.8,672,na,https://www.seoultech.ac.kr/en
1290,1201-1400,Shahjalal University of Science and Technology,Bangladesh,Medium,Focused,Very High,7.6,601+,11.8,601+,11.8,701+,5.3,701+,na,na,na,na,12.8,701+,3.9,701+,1,701+,na,https://www.sust.edu/
1291,1201-1400,Shanghai International Studies University,China (Mainland),Large,Specialist,Very High,4.9,601+,2.9,601+,16.7,701+,1.8,701+,26.9,518,27.3,454,5.4,701+,5.2,701+,1,701+,na,http://www.shisu.edu.cn/
1292,1201-1400,Shanghai University of Finance and Economics,China (Mainland),Large,Focused,Very High,4.5,601+,5.2,601+,8.9,701+,3.5,701+,15.5,662,2.1,701+,14.9,701+,42.6,304,1.4,701+,na,http://en.shufe.edu.cn/
